Question,A,B,C,D,Descripton A,Descripton B,Descripton C,Descripton D,Answer
What is a placket in garment construction?,A decorative stitch,A finished opening in a garment,A type of pocket,A seam finish,"Plackets are functional, not purely decorative.",A placket is a finished opening that allows wearing or removing a garment easily.,"Pockets are for holding items, not garment openings.","Seam finishes protect edges, they are not plackets.",B
A tailor is sewing a button-down shirt and wants to finish the front opening neatly. Which placket is most commonly used in shirt fronts?,Continuous placket,Shirt placket,Zipper placket,Skirt placket,"Continuous plackets are typically used on sleeves, not shirt fronts.",Shirt plackets provide a neat opening for buttons in front of shirts.,Zipper plackets are for fastened openings with zippers.,Skirt plackets are used in skirts and are not the same as shirt plackets.,B
What is the primary purpose of a hem in a garment?,To prevent the raw edge of fabric from fraying,To decorate the garment,To hold the garment together at seams,To add fullness,Hems finish the raw edge to prevent fraying.,"While hems may be decorative, their main function is protective","Seams, not hems, join fabric pieces",Hems do not add fullness to garments.,A
What is the primary function of a fastener in garments?,To hold pieces of fabric together or close openings,To decorate the garment,To add fullness,To strengthen seams,Fasteners join fabric pieces or secure garment openings.,"Some fasteners may be decorative, but their main purpose is functional.","Fullness is added by pleats, gathers, or darts.","Seam strength comes from stitching, not fasteners.",A
What is the main purpose of mending in garments?,To decorate the garment,"To repair holes, tears, or worn areas",To add fullness,To shorten the garment,"Mending may be decorative sometimes, but its primary purpose is repair.","Mending restores the garment by fixing holes, rips, or worn areas.",Fullness is unrelated to mending.,Mending does not affect garment length.,B
Which scenario demonstrates good budgeting in clothing selection?,Planning purchases within a set limit while prioritizing needs,Buying all items seen on sale,Spending all savings on a single designer item,Ignoring wardrobe gaps,Budgeting balances affordability and wardrobe needs.,Sale shopping without plan may lead to unnecessary purchases.,Overspending on one item neglects other needs.,Ignoring gaps can lead to wardrobe inefficiency.,A
What is the primary purpose of personalized wardrobe planning?,To follow every fashion trend,To reduce clothing durability,To increase clothing purchases,"To organize clothing based on personal lifestyle, needs, and preferences",Trends may influence choices but are not the main focus.,Wardrobe planning does not reduce durability.,Planning may reduce unnecessary purchases.,"Personalized planning ensures clothes fit one’s lifestyle, activities, and preferences.",D
Which type of clothing should be prioritized in a personalized wardrobe?,"Items that match lifestyle, climate, and personal style",Only expensive or designer items,Clothes that are trendy but impractical,Outdated clothing that does not fit,"Prioritizing functional, comfortable, and versatile items ensures practicality.",Cost alone does not determine value.,Trendy items without function are less useful.,Outdated or ill-fitting clothes reduce usability.,A
A person’s wardrobe is mostly impractical or incomplete. What should they do first?,Assess clothing needs and lifestyle requirements,Discard everything and start over,Purchase every trending item,Avoid organizing the wardrobe,Needs assessment is the first step in creating a functional wardrobe.,Discarding everything may waste usable items.,Trends alone do not ensure practicality.,Organization is essential for effective wardrobe planning.,A
What is the first step in the clothing selection process?,Considering style trends,Ignoring occasion requirements,Buying the most expensive item,Identifying clothing needs,Trends are secondary to actual needs.,Occasion is considered after needs assessment.,Cost alone should not determine choice.,Identifying what clothing is needed ensures practical and purposeful selection.,D
A parent wants clothing for an infant who frequently spits up or soils clothes. What is the MOST practical choice?,Multiple layers of delicate fabrics,Expensive designer clothing,"Soft, washable, easy-to-change outfits","Tight, formal attire",Layers and delicate fabrics are impractical.,Designer clothes may be delicate and impractical.,"Easy-to-wash, simple clothing allows quick changes and comfort.",Formal clothing is not suitable for infants’ daily activities.,C
