Questions,A,B,C,D,Description (A),Description (B),Descriprion ( C),Description (D),Answer Key
"A husband and wife share a ""Passive-Congenial"" marriage. What is the most likely reason they stay together?",Intense romantic passion,Constant fighting and drama,Practicality and convenience,Total shared interests in every area,A passive-congenial marriages are defined by a lack of emotional intensity and passion from the beginning.,This describes a conflict-habituated marriage where tension is the primary mode of relating.,"These couples prioritize stability, social respectability, and the ""utility"" of having a partner for life’s tasks.","This describes a ""Total Marriage"" where partners are completely integrated into each other's lives.",C
" In a modern family, both parents work full-time and share the responsibility of cooking and cleaning. This practice promotes:",Gender Inequality,Gender Equality,Patriarchal Rule,Matriarchal Rule,Inequality involves an unfair distribution where one gender carries a significantly heavier workload.,It reflects an egalitarian structure where household labor is divided based on fairness rather than biological sex roles.,Patriarchy places the burden of domestic work on females while the male holds the primary authority.,"This would imply the mother holds all power and makes all the decisions, which isn't the same as sharing chores.",B
"What is the sociological term for a marriage that was once full of life and passion but has now become dull and ""empty""?",Vital Marriage,Devitalized Marriage,Total Marriage,Conflict-Habituated,"Vital marriages are those that currently maintain a high level of life, passion, and excitement.","The prefix ""de-"" means to remove. This describes a relationship where the vitality has been drained over time.","This is a very active and integrated marriage, not a dull or empty one."," These marriages are ""loud"" with conflict rather than ""empty"" or dull.",B
"When a wife comes home from her office job and immediately starts doing the laundry while the husband rests, she is experiencing:", The First Shift,Career Advancement,Shared Responsibility, The Second Shift,The first shift is her paid professional work at the office or place of business.,Domestic labor usually hinders career advancement by taking away time that could be used for rest or professional development.,Responsibility is not shared if one partner is performing all the labor while the other is resting.,This term describes the unpaid domestic work that women are socially expected to do after their paid work is done.,D
"Which theory focuses on ""meanings"" and ""symbols"" like words and gestures that family members use?",Symbolic Interactionism,Structural-Functionalism,Conflict Theory,Biological Theory,It studies how family members interpret each other's small actions (like a smile or a specific tone of voice) to build their relationship.,"This theory looks at the family's ""jobs"" in society, like population growth and economic stability.", This theory focuses on the power struggle and inequality between the rich/poor or men/women.," This focuses on physical traits, genetics, and health rather than social meaning.",A
" In which type of marriage do partners share almost every aspect of their lives, including work and hobbies?",Vital Marriage,Passive-Congenial ,Total Marriage,Devitalized,"While vital couples are close, they still maintain separate professional lives or individual hobbies.",These partners often have very separate lives and only come together for practical household needs.,"This is the most ""fused"" type of marriage where the couple spends nearly 24 hours a day together in various roles.",These couples are emotionally distant and would rarely choose to share hobbies or work together.,C
" Which of the following is a ""healthy"" way to handle marital conflict?",Open communication and active listening,Stonewalling (refusing to talk),Excessive criticism,Bringing up past mistakes,This allows both partners to express their feelings without fear and helps them find a middle ground.,"Refusing to talk creates a ""wall"" that prevents any solution from being reached.","Criticizing the partner's character (e.g., ""you are lazy"") makes them defensive and stops healthy problem-solving.","This is called ""kitchen-sinking"" and it distracts the couple from solving the specific problem happening right now.",A
Gender equality in the home is most likely to result in:,Higher divorce rates,Stronger family bonds and less stress,Children becoming confused ,Men losing their masculinity,"Research shows that when chores and childcare are fair, couples are often happier and less likely to split.","Sharing the workload prevents ""parental burnout"" and builds a sense of being a team.",Children who see both parents doing all types of work actually grow up with more skills and confidence., Taking care of the home and children is a human responsibility that does not change a person's biological sex.,B
"A marriage where the couple is polite and never fights, but shows no deep affection, is called:",Conflict-Habituated,Passive-Congenial,Total,Vital,These couples are the opposite of polite; they are known for their frequent and loud arguments.,"They are ""congenial"" (meaning friendly/polite) but ""passive"" (meaning they lack the ""fire"" or passion of love).", Total marriages are characterized by high levels of passion and involvement in each other's lives.,"Vital marriages have a very strong, ""alive"" emotional connection that is missing here.",B
"What happens in the ""Dispersion"" stage of the family life cycle?",The couple gets married.,Children are born.,Children leave the home to start their own lives.,The parents retire., This is the Beginning or Formation stage where the primary task is adjusting to life as a pair.,This is the Expansion stage where the family grows in number and focus shifts to child-rearing.,"""Dispersion"" refers to the scattering of members. This is also called the ""Empty Nest"" or ""Launching"" stage.","While this often happens around the same time, retirement is part of the Retirement or Late Life stage.",C
"When a father takes a paternity leave to care for his newborn, he is demonstrating:",Shared parental responsibility,Neglect of work duties,Lack of leadership,Traditional gender roles,"It shows that the biological and emotional care of a child is a job for both parents, not just the mother.",Paternity leave is a legal right that recognizes the importance of the father's role in infant development.,Active parenting is a form of leadership that involves providing and caring for the next generation., Traditional roles usually dictate that the father should be at work while only the mother stays with the baby.,A
"Which of the following is considered a ""utilitarian"" marriage?",Vital Marriage ,Total Marriage,Romantic Marriage,Passive-Congenial Marriage,"Vital marriages are intrinsic, meaning the value comes from the emotional bond itself, not the practical benefits.",This is an intrinsic marriage where the relationship is the most important part of the partners' lives.,"Romance is based on feeling and attraction, which is the opposite of a utilitarian/practical focus.","Utilitarian marriages are ""useful."" The partners stay together for property, social standing, or the convenience of a shared household.",D
"What is the primary focus of ""Conflict Theory"" regarding the family?",How families maintain power and resources.,How families stay happy forever,How children learn to speak.,How families choose their last names. ,It looks at the family as a small version of society where different members (men vs. women) struggle for power and control..," This is too idealistic for Conflict Theory, which looks for systemic problems.",This is part of the Socialization function usually studied by Functionalists.," This is a matter of kinship systems and social norms, not necessarily power struggles.",A
"If a couple stays together ""for the kids"" even though they no longer like each other, their marriage is likely:",Vital,Devitalized,Total ,New,vital couples stay together because they truly want to be with each other.,"The emotional ""life"" is gone, and the relationship is now just a shell maintained for external reasons like children or reputation.", These couples are highly integrated and very happy together.,"""New"" is a stage of time, not a qualitative interaction type like devitalized.",B
"Which of the following best describes ""Egalitarian"" parenting?",The mother does all the indoor work; the father does all the outdoor work., Both parents share decision-making and household tasks regardless of gender.,The parents let the children make all the rules., The grandparents make all the decisions for the parents.," This is still ""Gender Segregation,"" which keeps men and women in separate boxes."," ""Egalitarian"" comes from the word for equality. Tasks are assigned by who has the time or skill, not by sex.", This is Permissive parenting. Egalitarianism refers to the relationship between the parents.,This is a Patriarchal or Matriarchal extended family authority pattern.,B
Why is communication considered the most important factor in marital interaction?,It is the only way to avoid ever having an argument. ,It is required by the Family Code of the Philippines., It makes the marriage license valid.,"It allows partners to share needs, resolve conflicts, and build intimacy.", All healthy couples argue. Communication is the tool used to solve those arguments.,"The law can require you to provide money, but it cannot legally force you to be a good communicator.",A license is a document. Communication is the behavior that makes the actual marriage work.," Without sharing thoughts, partners become ""roommates"" instead of ""soulmates.""",D
"A ""Total Marriage"" is different from a ""Vital Marriage"" because:",Total marriages are more common in the Philippines. , Total marriages have more conflict.,"Total marriages involve sharing almost all aspects of life, including professional work. ",Total marriages are only for wealthy people. ,Both are actually rare compared to utilitarian types.,Total marriages usually have the lowest levels of destructive conflict.,"In a Vital marriage, you are close but have separate jobs; in a Total marriage, you are ""fused.""","Any couple, regardless of income, can choose to be totally integrated.",C
"What does the term ""Double Burden"" refer to?",Having to pay taxes twice. ,Having two jobs in the same day.,Working for pay and then doing all the unpaid housework.,Caring for both children and elderly parents.,This is a financial policy issue.," This is often called ""moonlighting"" for extra income."," It describes the ""burden"" many women face of working a ""first shift"" at a job and a ""second shift"" at home.","This is the ""Sandwich Generation"" phenomenon.",B
"Which sociological perspective would analyze how a ""kiss"" or a ""hand-hold"" strengthens a marriage?",Symbolic Interactionism,Structural-Functionalism,Conflict Theory,Economic Theory ," It looks at small ""symbols"" (gestures) and how they communicate love and meaning between two people.","This looks at the family as a ""machine"" that keeps society running."," It would look at who ""owns"" the labor in the relationship.",It focuses on the exchange of money or goods.,A
"A couple that fights constantly but stays together for years because they ""enjoy the excitement"" of the conflict is:",Passive-Congenial ,Devitalized ,Conflict-Habituated,Total," These couples are very quiet and polite, avoiding drama at all costs."," These couples are bored and quiet, not actively fighting."," Conflict has become their ""habit."" It is the way they show they still care or stay engaged with each other.", These couples are very peaceful and supportive.,C
"Gender equality in the family is a key to ""strengthening"" the unit because:",It reduces the burden on one parent and promotes teamwork.,It makes the father the absolute head of the house., It encourages children to leave home earlier.,It simplifies the legal process of marriage.,"When the ""Double Burden"" is removed, the marriage is less stressed and more cooperative.","This is Patriarchy, which can lead to stress and resentment for the mother.","A happy, equal home often makes children feel more secure and supported.","Equality is a lifestyle choice, not a legal paperwork shortcut.",A
"In the ""Expansion"" stage of the family, the main focus is on:",Traveling the world as a couple.,Dividing the inheritance.,Planning the wedding.,Raising children and meeting their needs.,This is easier in the Beginning stage before children arrive., This happens at the very end of the family cycle (Replacement).,The family is already formed by the time expansion happens.," ""Expansion"" refers to the growth of the family size and the responsibilities that come with it.",D
" When a husband says, ""I'll do the dishes since you cooked dinner,"" he is practicing:",Gender Discrimination,Reciprocity and Equality,Laziness ,Traditional Patriarchy, He is doing the opposite by sharing the work fairly.," It shows a ""give and take"" balance where both partners contribute to the household.",Washing dishes is an active domestic chore.,"In a strict patriarchy, the husband might expect the wife to do both the cooking and the cleaning.",B
Which of the following is a barrier to gender equality in the Philippines?,The presence of women in the workforce. ," Deep-seated ""Machismo"" or traditional male-dominance culture.",Educational opportunities for girls.,Laws that protect women's rights.,Women working for pay is a major step toward equality.,"Cultural beliefs that ""housework is for women"" prevent men from sharing responsibilities.",Education empowers women to seek equal treatment.,"These laws are intended to help achieve equality, not block it.",B
" A ""Vital Marriage"" is characterized by:",Genuine physical and emotional closeness.,Boredom and silence.,Frequent shouting matches.,Staying together only for business reasons.,"The couple feels ""vitalized"" (alive) when they are together.", This describes a Devitalized marriage.,This is Conflict-Habituated.,This is Passive-Congenial.,A
"What is the main difference between ""sex"" and ""gender""?","Sex is social, gender is biological. ",They mean the exact same thing.,"Sex is biological, gender is the social role or expectation. ","Sex is only for adults, gender is for children.", It is the other way around.," In the study of family and society, they are very different concepts.","You are born with a sex (male/female), but you are taught a gender (masculine/feminine).",People have both sex and gender throughout their entire lives.,C
 A family that tracing their history only through the father's side is:,Matrilineal,Bilateral , Neolocal,Patrilineal, This is the mother's side.,This system traces both sides equally.," This is a residence pattern (living in a new place), not a history-tracing pattern."," ""Pater"" means father. This system focuses on the male bloodline.",D
"Which of the following is a result of ""poor"" marital interaction?",Mutual respect,Increased emotional distance and resentment, Effective problem solving,Shared family goals ,"Respect is the result of healthy, positive interaction.","When people don't interact well, they stop feeling close and start feeling angry.",You cannot solve problems effectively without good interaction.,Poor interaction usually means the couple is working in different directions.,B
"The ""Second Shift"" refers to work that is:",Unpaid and domestic (housework/childcare).,Paid and professional.,Part-time and temporary. ,Done only by men.," It is the ""job"" you do at home for your family for no salary."," The ""first shift"" is your paid job."," Domestic work is a continuous, long-term responsibility.","Historically, women have performed the vast majority of the second shift.",A
" ""Symbolic Interactionism"" would be most interested in which of the following?",The divorce laws of a country.,The total population growth of a nation., How a couple negotiates who takes out the trash through their daily talk.,The average income of all families.,"This is a ""Macro"" level concern for Functionalists.",This is a large-scale statistical concern.," It looks at the ""Micro"" level—how two people talk to create their own rules.", This is an economic or conflict-theory concern.,C
" A ""Passive-Congenial"" marriage is often very stable because:",The couple is so in love they never want to leave.,There is very little conflict because there is very little emotional investment.,They are required by law to never divorce.,They share every single hobby.," Their bond is based on practicality, not romantic love.","Since they don't expect deep passion, they don't get deeply hurt or angry."," Even in places without divorce (like the Philippines), many people separate if they are unhappy.",This integration is found in Total marriages.,B
"In the context of parenting, ""gender equality"" means:",Only the mother should feed the baby,Only the father should discipline the children.,Both parents are equally capable of nurturing and disciplining.,Children should not have any gender at all.,Fathers are perfectly capable of bottle-feeding and caring for an infant.,Both parents should be involved in setting rules and boundaries.," Nurturing and discipline are human skills, not ""male"" or ""female"" skills.","Gender equality is about the parents' roles, not erasing the identity of the child.",C
"What is the main goal of the ""Beginning Stage"" of the family?",To save money for the children's college.,To adjust to living together as a couple and establish routines.,To prepare for retirement.,To find a husband for the eldest daughter.,This is usually a goal in the Expansion stage.,"This is the ""honeymoon"" period where the foundation of the relationship is built.",Retirement planning happens much later in life., This happens when the children are grown (Dispersion).,B
"A ""Total"" marriage is often found in couples who:",Work in the same business together and share the same friends., Live in different cities.,Don't know anything about each other's work,Have separate social lives.," Their lives are ""totally"" intertwined. There is no ""his"" or ""hers,"" only ""ours.""","Distance makes it almost impossible to maintain a total, integrated marriage.",This separation of lives is the opposite of a total marriage.,This is common in Vital or Passive-Congenial marriages.,A
Conflict Theory suggests that the family can be a place of:,Perfect peace and harmony., Biological evolution.,Divine intervention.,Inequality where men have more power than women.,"This theory focuses on the ""messy"" side of human power struggles.",This is the focus of Sociobiology.,This is a Religious perspective.,It views traditional family structures as a way for men to dominate women's time and labor.,D
"Which of the following is an example of ""Non-Verbal"" marital interaction?","Saying ""I love you.""",Writing a text message. ,A supportive hug or a warm smile., Having a long discussion about bills.,This is a verbal (spoken) communication.,This is verbal (written) communication., These actions communicate love and support without using any words., A discussion involves verbal exchange.,C
"The ""Replacement Stage"" of the family life cycle ends when:",The first child is born.,The couple gets a divorce.,The original parents die and the next generation takes over. ,The children start preschool.,This starts the Expansion stage.,This is a breakdown of the family unit.,"The lineage is maintained because the children ""replace"" the parents as the heads of households.",This is part of the middle of the Expansion stage.,C
"When we say a marriage has ""Vitality,"" we mean it is:",Legally valid,"Full of life, energy, and emotional connection",Very old,Very expensive, A marriage can be legal but completely dead emotionally.," ""Vitality"" comes from the word for life. These partners feel ""alive"" when they are together.",An old marriage can be devitalized or passive-congenial.,Money cannot buy emotional vitality.,B
" In an egalitarian family, who is the ""boss""?",The Father,The Mother,Both parents together as a team,The oldest child,This is a Patriarchy.,This is a Matriarchy.,"In an egalitarian system, there is no single boss; there is shared leadership.", Children do not hold the primary authority in standard family structures.,C
"Which of the following is a ""functional"" reason for gender equality in families?","It allows the family to have two incomes, increasing financial security. ", It makes the wedding ceremony shorter.,It means the family doesn't need a house. ,It allows children to pick their own parents.,"from a ""Functionalist"" view, having two workers makes the family unit more likely to survive and succeed. ", Equality doesn't change ceremony length., All families need a physical home.,This is not biologically or socially possible.,A
" ""Devitalized"" marriages are often described as ""hollow."" This means:",The house is empty.,The couple is poor. ,The marriage is not legal.,The relationship looks good on the outside but has no feeling on the inside. ,"An ""Empty Nest"" is a stage, not a type of interaction."," Being ""hollow"" refers to emotional bankruptcy, not financial bankruptcy.","It is a valid, legal marriage, just an unhappy one."," Like a hollow tree, it has a shell but no ""heart"" or ""life"" left.",D
A husband who supports his wife's career by staying home with a sick child is showing:,A lack of ambition.,Gender equality and support.,Traditional values. ,Matriarchal rule.,He is showing great ambition for his family’s overall success.,He is prioritizing his wife's work as being just as important as his own., Traditional values would say the wife must be the one to stay home.," Helping one's spouse is an act of partnership, not being ""ruled.""",B
"What is the most common reason for the ""Empty Nest"" syndrome?",The parents get a divorce.,The children grow up and move out. ,The family buys a new house.,The couple has no children. ,Divorce is a marital dissolution.,"When the children (the ""birds"") leave the home (the ""nest""), the parents often feel lonely or sad.",This is just changing locations.,You cannot have an empty nest if you never had children to begin with.,B
"""Shared Decision Making"" is a characteristic of:",Patriarchal families, Matriarchal families., Egalitarian families.,Authoritarian families.,Only the male makes the final decisions.,Only the female makes the final decisions.,"Both partners discuss, negotiate, and decide together.",One person dictates to everyone else without listening to them.,C
"Which term refers to the constant exchange of feelings and ideas between spouses that serves as the ""bloodline"" of a healthy marriage?", Financial Planning,Marital Interaction,Social Placement ,Legal Binding,"While money is a major topic, it is an external resource. Interaction is the internal process that makes planning possible."," It encompasses all forms of communication, both verbal and non-verbal, that sustain a relationship.",This is a sociological function of the family regarding how children are ranked in society; it is not an internal marital process.,This refers to the state-recognized contract. A marriage can be legally bound but have zero interaction or connection.,B
