QUESTIONS,A,B,C,D,DESCRIPTION A,DESCRIPTION B,DESCRIPTION C,DECRIPTION D,ANSWER
"1. What is the primary title of DepEd Order No. 13, s. 2017?",National School Feeding Program Guidelines,Policy and Guidelines on Healthy Food and Beverage Choices in Schools and in DepEd Offices,Revised Implementing Guidelines on the Operation and Management of School Canteens,Nutrition Standards for Public Schools,"Refers to general feeding programs, not the specific choices policy.",This is the exact official title as stated in the Department Order. ,This refers to an older 2007 order that this policy modifies. ,This is a general description and not the legal title of the issuance.,B 
"2. Which category of food is separated from the medium of immediate growth (soil, plant, or water) without any processing?",Processed foods,Formulated foods,Minimalist foods,Fresh foods,Processed foods have undergone sequences of events to improve quality.,Formulated foods are created by mixing different ingredients into a specific recipe.,"""Minimalist"" is not a standard technical classification for raw harvested food.",Defined as items separated from growth medium without processing.,D
"3. Chemically, what is the most abundant component found in most foods?",Water,Minerals,Carbohydrates,Lipids,Water typically dominates the weight of fresh produce and meats.,Minerals are present in relatively small proportions.,"Carbohydrates are a main component, but water typically dominates.",Lipids (fats) are major components but usually second to water or carbohydrates.,A 
4. What is the main benefit of food processing regarding food security?,It makes food completely free of all chemical residues.,It eliminates the need for any packaging materials.,"It makes food available, safe, and wholesome over time.",It guarantees that all foods will have the same nutritional value.,Processing cannot always eliminate all residues like pesticides.,Processing usually requires more packaging to maintain the preserved state.,Vital for food security by ensuring safety and availability over time.,Nutritional value changes based on the type of processing method used.,C
"5. Which of these is considered a ""supplement"" rather than a standard ""food""?",A bottle of pasteurized milk,A vitamin tablet consumed as a dosage,A fresh apple from an orchard,A loaf of fermented bread,This is a processed fresh food.,Consumed as dosage mainly for health/disease prevention.,This is a fresh raw food.,This is a processed/fermented food.,B 
6. At what water activity level does microbial growth generally cease for most organisms?,0.62,0.9,1,0.1,No growth usually occurs below this level.,Many bacteria and molds grow easily at 0.90.,This is pure water; microbes thrive here.,"At 0.10, the food is extremely dry and stable against microbes.",A
"7. Which type of bound water is defined as ""nonfreezing, strongly bound, and non-solvent""?",Type II,Type III,Type IV,Type I,"Type II is nonfreezing but ""weakly bound solvent"".","Type III is ""limited freezing and loosely bound solvent"".",Most models only classify three types of bound water.,"Defined as nonfreezing, strongly bound, and non-solvent.",D
"8. According to the Grover Model, which solute has the highest water-activity-depressing power (highest beta)?",Sucrose,Protein,Salt,Fat,Sucrose has a beta of 1.024.,Protein has a beta of 1.325.,Salt is most effective at lowering water activity.,"Fat has a beta of 0.0, meaning it does not depress water activity.",C
9. Which process in frozen foods involves the migration and growth of ice crystals during storage?,Recrystallization,Denaturation,Retrogradation,Sublimation,Process where ice crystals ripen or coalesce.,Denaturation refers to the unfolding of proteins.,Retrogradation refers specifically to starch crystallization.,Sublimation is the transition of ice directly to vapor.,A
"10. What is the primary cause of ""staling"" in baked goods during frozen storage?",Growth of thermophilic bacteria,Moisture migration,Excessive use of salt,Increase in protein solubility,Freezing inhibits bacterial growth.,Principal cause of staling in frozen baked goods.,"Salt is an ingredient, not the cause of staling.",Freezing usually decreases protein solubility.,B 
"11. Why is ""quick freezing"" generally preferred over ""slow freezing""?",It creates large ice crystals that puncture cell walls. ,It ensures the food tastes more salty.,It allows the food to be stored at room temperature.,"It forms small ice crystals, reducing structural damage.",This is a disadvantage of slow freezing.,Freezing speed doesn't change salt content.,All frozen food must remain in the freezer.,"Forms small crystals, reducing structural damage.",D
12. Rehydration of dried foods is technically described as:,A perfectly reversible process to dehydration.,The process of removing all water.,Usually irreversible due to structural changes during drying.,A way to increase the vitamin C content.,"In practice, drying causes changes that cannot be perfectly undone.",This is dehydration itself.,Most changes during drying are irreversible.,Drying usually reduces Vitamin C.,C
13. Which drying method involves the sublimation of ice directly into vapor?,Freeze-drying,Cabinet drying,Spray drying,Solar drying,Involves freezing and then subliming ice.,Uses heat to evaporate liquid water.,Uses heat to evaporate liquid water.,Uses heat to evaporate liquid water.,A
14. Nitrites are commonly used in meat preservation to prevent the growth of:,Yeast,Molds,Clostridium botulinum,Lactobacilli,Not the primary target.,Not the primary target. ,Specific inhibitor for botulism spores in meat. ,Not the primary target.,C
15. Which natural antioxidant is frequently used to enhance the stability of meat products?,Sugar,Rosemary extract,Starch,Vinegar,"This is a carbohydrate, not a primary antioxidant.",Well-known natural antioxidant for meats.,This is a carbohydrate. ,Used for acidity/pH control.,B 
"16. What is the main purpose of ""blanching"" vegetables before freezing?",To cook them so they are ready to eat.,To remove all the vitamins.,To make the vegetables change color to brown.,To inactivate enzymes that cause quality loss.,"It is a pretreatment, not full cooking.",Preservation aims to keep vitamins.,Blanching usually fixes the green color.,Kills enzymes that cause off-flavors or color changes.,D
17. Pasteurization differs from sterilization in that pasteurization:,Kills all microorganisms and spores.,It is only used for solid foods.,Uses lower temperatures to kill pathogens but not all spoilage organisms,Does not use heat.,This describes sterilization/canning.,"Very common for liquids (milk, juice).",Milder heat treatment designed for safety and quality. ,Pasteurization is a thermal (heat) process.,C
18. What does HACCP stand for?,Hazard Analysis and Critical Control Point ,Heat And Cold Control Point,Healthy Apple and Carrot Canning Process ,High Analysis of Chemical Contamination Points ,Official name for the food safety system.,Temperature control is only a part of the system.,Incorrect expansion that narrows the scope. ,Too narrow and uses incorrect terminology.,A
"19. In HACCP, what is a ""Critical Control Point"" (CCP)?",The point where the food tastes the best.,"A step where a hazard can be prevented, eliminated, or reduced to safe levels.",The final packaging line.,The location of the factory.,"This is Quality Control, not Safety Control.",Specific stage where hazards are controlled.,"CCP refers to function, not necessarily the end of the line.",Geographical or administrative detail.,B 
"20. Which of the following is considered a ""chemical hazard"" in raw food materials?",Metal fragments,Salmonella bacteria,Glass shards,Pesticide residues,This is a Physical Hazard. ,This is a Biological Hazard.,This is a Physical Hazard. ,Pesticides are common chemical hazards.,D
21. Which vitamin is most likely to be destroyed during high-heat drying?,Vitamin C,Vitamin D,Vitamin A,Vitamin K,Most unstable vitamin and sensitive to heat.,Quite stable during heat processing.,Fat-soluble and somewhat stable. ,Generally stable to heat and processing.,A
22. Which of the following is the primary preservative mechanism by which LAB inhibits the growth of competing microorganisms?,Increasing the temperature of the food matrix. ,Removal of all moisture from the food.,Production of organic acids (mainly lactic acid) to lower the pH.,Creation of a physical barrier on the food surface.,Fermentation doesn't generate enough heat for preservation. ,This is the mechanism of drying. ,Primary mechanism is pH lowering via acids. ,Describes edible coatings or packaging.,C
23. Which physical state of food powder is most susceptible to stickiness and caking during storage?,Crystalline state,Perfectly dry state,Frozen state,Amorphous (glassy/rubbery) state,Generally stable and non-sticky.,Dryness generally increases stability. ,Freezing can prevent caking but isn't a standard storage state. ,Amorphous states are prone to flow and stickiness.,D
"24. What is the ""Critical Temperature"" in the context of powder stickiness?",The boiling point of water.,"The temperature where the surface becomes sticky, often related to glass transition. ",The temperature at which the food catches fire. ,Absolute zero. ,Not the point defining powder stickiness. ,Critical threshold where rubbery particles bond. ,"Refers to combustion, not quality. ",Theoretical point of no motion.,B 
25. Caking of a powder is best defined as:,Turning a powder into a liquid.,Adding sugar to make a cake. ,The formation of permanent clumps or a solid mass from a free-flowing powder. ,The process of grinding large pieces into fine powder. ,Describes deliquescence. ,Unrelated culinary term. ,Definition of undesirable lump formation. ,This is milling or grinding.,C
"26. What happens during ""Solid Bridge"" formation in caking?",Dissolved solutes (like sugar) crystallize or solidify at the contact points. ,Particles are connected by a layer of ice. ,The packaging material melts onto the food. ,High-frequency sound waves fuse the powder. ,Mechanism where solutes crystallize at contact points. ,Ice bridges occur in frozen foods. ,This is a packaging failure. ,Describes ultrasonic welding.,A
27. Which common fodd additive is used to prevent caking?,Artificial sweeteners ,Food coloring ,Emulsifiers,Anticaking agents,Can contribute to stickiness. ,Used for aesthetics. ,Help mix oil and water. ,Designed specifically to keep powders free-flowing.,D
28. Deliquescene is an extreme form of caking where:,The powder turns into a gas.,The powder absorbs so much moisture that it dissolves into a liquid solution.,The powder explodes.,The powder changes color. ,This is sublimation. ,Phase change to liquid due to high humidity. ,Describes dust explosions. ,"Browning may occur, but isn't the definition.",B 
"29. How does ""Mechanical Interlocking"" contribute to stickiness?",By particles with irregular shapes physically tangling with each other.,By using tiny magnets. ,By adding glue to the powder. ,By the weight of the powder. ,Physical tangling of jagged particles. ,Not a mechanism in food powders. ,No glue is added in this mechanism. ,This describes consolidation.,A
30. Why does Consolidation caking happen at the bottom of a large storage?,Due to lack of oxygen. ,Due to the static pressure (weight) of the powder above.,Because it is darker at the bottom. ,Because the bottom is always wet.,"Affects spoilage, not physical squeezing. ",Driven by physical weight/pressure. ,Light does not affect physical pressure. ,"Moisture worsens it, but pressure is the primary driver.",B
"31. Which of the following refers to why and how people eat, which foods they eat, and with whom they eat?",Food Science ,Food Habits ,Food Technology,Food Security ,Study of the makeup of food. ,Social and cultural patterns of consumption. ,Application of science to preservation/packaging. ,Having access to nutritious food.,B 
"32. Without this factor, people would only be able to eat food grown and processed locally.",Technology,Economy,Agriculture ,Transportation ,Helps process but doesn't move it across distances. ,Supports trade but isn't the physical means. ,Act of growing the food. ,Key to distributing food globally.,D
33. Technology in the food industry primarily relates to which of th efollowing?, Growing crops only,Aesthetic presentation ,"Food production, processing, and handling ",Lowering food prices ,This is specifically agricultural technology.,This is food styling or culinary art. ,Applies to the entire supply chain.,"Market result, not the definition. ",C
