QUESTIONS,A,B,C,D,DESCRIPTION A,DESCRIPTION B,DESCRIPTION C,DESCRIPTION D,ANSWER
1. Which scenario best illustrates “Planning” in Household Resource Management? ,"Buying items without comparing prices. 
","Listing monthly expenses before budgeting.
","Saving receipts randomly.
","Spending all savings at once. 
",Option A is incorrect because buying without comparing prices reflects impulsive behavior.,"The correct answer is B because listing monthly expenses before budgeting shows foresight and preparation, which are essential elements of planning.

","Option C is incorrect because randomly saving receipts lacks organization and intention.
",Option D is incorrect because spending all savings at once shows absence of planning and financial discipline.,B
2. Which best describes a consumer?,"A business that sells products
","A person who invests in stock markets
","A person who uses goods and services for needs
","A person who produces goods
",Option A is incorrect because businesses are producers or sellers.,Option B is incorrect because investing is not consumption.,The correct answer is C because a consumer is someone who uses goods and services to satisfy needs and wants.,Option D is incorrect because producing goods does not define a consumer.,C
"3. Which aspect is NOT part of consumer education?
","Business profit maximization
",Informed choice,Value systems,Wise decision-making,"The correct answer is A because consumer education focuses on consumer welfare, not maximizing business profits.","Option B is incorrect because informed choice is a key goal.
","Option C is incorrect because values guide responsible consumption.
","Option D is incorrect because wise decision-making is central to consumer education.
",A
"4. When a family decides whether to fix their roof or renovate their kitchen, which management principle are they demonstrating? ",Prioritization ,Time Management ,Marketing Strategy,"Profit Maximization 
","The correct answer is A because choosing between fixing a roof and renovating a kitchen requires ranking needs according to urgency, which defines prioritization.
",Option B is incorrect because time management focuses on scheduling tasks.,Option C is incorrect because marketing strategy applies to business promotion.,Option D is incorrect because profit maximization is not a household objective.,A
5. What is the first step in the management process? ,Organizing,"Controlling 
",Planning ,Evaluating,Option A is incorrect because organizing follows planning.,"Option B is incorrect because controlling happens during implementation.
",The correct answer is C because planning is the first step in the management process where goals and actions are determined.,"Option D is incorrect because evaluation is done after activities are completed.
",C
6. Which scenario reflects responsible consumer behavior?,"Ignoring product reviews
",Listening only to friends,"Checking return policies before purchase
","Buying first, thinking later
",Option A is incorrect because reviews provide helpful insights.,Option B is incorrect because decisions should not rely solely on others.,The correct answer is C because reviewing policies shows foresight and responsibility.,"Option D is incorrect because it reflects impulsive behavior.
",C
"7. Which statement shows cause and effect in consumer education?
","Advertising leads to education
","Learned skills lead to better choices
","Prices rise, fewer consumers
","Rights ignored, better decisions",Option A is incorrect because advertising is not education.,The correct answer is B because knowledge directly influences decision quality.,Option C is incorrect because it is not education-related.,Option D is incorrect because ignoring rights harms decisions.,D
"8. When a mother uses leftover vegetables to make soup rather than throwing them away, which concept does this illustrate? ",Resource Substitution ,Wasteful Consumption ,Maximum Utilization of Resources,Discount Shopping,Option A is incorrect because no replacement resource is used. ,Option B is incorrect because the action reduces waste.,The correct answer is C because using leftover vegetables ensures maximum utilization of available resources.,"Option D is incorrect because discount shopping involves purchasing, which is not present.",C
9. Which tool is most useful for a household to organize and track its monthly financial information?,Calendar,Budget Worksheet ,Cooking Recipe,Sewing Pattern,Option A is incorrect because a calendar only tracks dates.,The correct answer is B because a budget worksheet systematically records income and expenses. ,Option C is incorrect because a recipe is for cooking. ,Option D is incorrect because a sewing pattern is unrelated to finance.,B
"10. In resource management, what does the process of evaluation focus on? ",Listing expenses,Checking outcome against plan,Ignoring budget limits,Spending without limits ,Option A is incorrect because listing expenses is record-keeping. ,The correct answer is B because evaluation involves comparing actual results with the plan.,Option C is incorrect because ignoring limits contradicts evaluation. ,Option D is incorrect because uncontrolled spending reflects poor management.,B
11. Responsibility in consumer decisions helps:,"Increase purchases
","Ignore product specifications
","Balance needs and ethics
",Create brand loyalty,"Option A is incorrect because quantity is not the goal.
",Option B is incorrect because specs matter.,The correct answer is C because responsibility aligns choices with values.,Option D is incorrect because loyalty is secondary.,C
12. In what way is “organizing” different from “planning” in management?,It focuses on identifying objectives and deciding in advance what actions should be taken to achieve them.,"It involves arranging, assigning, and coordinating resources such as time, money, and people to carry out plans effectively.",It concentrates on reviewing outcomes to determine whether goals have been achieved and what improvements are needed.,It disregards timelines and structured activities when managing tasks.,Option A is incorrect because identifying objectives belongs to planning. ,The correct answer is B because organizing focuses on arranging and coordinating resources to carry out plans,Option C is incorrect because reviewing outcomes refers to evaluation.,Option D is incorrect because effective management requires structure and timelines.,B
13. Which is an example of “Controlling” in household management? ,Creating a weekly budget,Checking actual spending against the budget,Drafting a sewing pattern ,Promoting a product,Option A is incorrect because creating a budget is planning. ,The correct answer is B because controlling involves monitoring actual spending against the budget.,Option C is incorrect because sewing patterns are unrelated. ,Option D is incorrect because promotion belongs to marketing.,B
"14. When price and quality are similar, the best guide is:",Advertisement slogans,Familiar brand only,Personal values and needs,Peer influence,Option A is incorrect because slogans persuade,Option B is incorrect because familiarity can bias.,The correct answer is C because values and needs personalize decisions.,Option D is incorrect because peers may differ.,C
"15. If a family outlines their goals and decides what they want to achieve for the year, which step of management are they carrying out?",Planning,Controlling,Marketing,Recycling,The correct answer is A because outlining goals and deciding future actions is planning,Option B is incorrect because controlling checks performance. ,Option C is incorrect because marketing concerns selling products,Option D is incorrect because recycling does not involve goal setting.,A
16. Consumer education should be mandatory because it:,Increases advertising reach,Helps consumers make quick purchases,Strengthens consumer rights awareness,Lowers taxes,Option A is incorrect because ads are unrelated.,Option B is incorrect because speed is not the goal.,The correct answer is C because awareness empowers consumers to protect themselves.,"Option D is incorrect because taxation is unrelated.
",C
"17. A video promoting wise purchasing should focus on:
","Celebrity endorsements
",Steps of informed decision-making,Impulse buying tactics,Store promotions,"Option A is incorrect because celebrities influence emotions.
",The correct answer is B because teaching the process builds skills.,"Option C is incorrect because impulses are discouraged.
",Option D is incorrect because promotions are marketing tools.,B
18. Using cheaper materials to complete a project without reducing quality is an example of: ,Resource Ignorance,Consumer Debt,Resource Substitution ,Impulse Buying,"Option A is incorrect because the action shows awareness, not ignorance.",Option B is incorrect because no debt is involved. ,The correct answer is C because using alternative materials without lowering quality demonstrates resource substitution. ,"Option D is incorrect because the decision is planned, not impulsive.",C
19. When is budgeting most effective?,"After purchase are made
",Without tracking expenses,"Before spending money
","When ignoring priorities

",Option A is incorrect because budgeting after purchases cannot guide decisions.,Option B is incorrect because expense tracking is necessary. ,The correct answer is C because budgeting is most effective when done before spending. ,Option D is incorrect because ignoring priorities defeats budgeting.,C
20. Which example best illustrates resource allocation in a household?,Only buying luxury items,"Assigning funds to bills, food, and savings",Borrowing for everything,Purchasing on impulse,Option A is incorrect because luxury spending ignores needs.,"The correct answer is B because allocating funds to bills, food, and savings reflects proper resource allocation.",Option C is incorrect because borrowing indicates poor allocation.,"Option D is incorrect because impulse buying lacks planning.
",B
"21. When a manager reviews expenses on a weekly basis, which management function is being demonstrated? ",Planning ,Evaluating ,Ignoring Priorities,Marketing,Option A is incorrect because planning occurs beforehand. ,"The correct answer is B because reviewing expenses assesses outcomes, which is evaluation. ",Option C is incorrect because ignoring priorities contradicts management. ,Option D is incorrect because marketing is unrelated.,B
"22. Highest priority when ranking product features:
","Color of the product
",Advertisement strength,Price alone,Personal need,Option A is incorrect because aesthetics are secondary.,Option B is incorrect because ads persuade.,Option C is incorrect because price alone is insufficient.,The correct answer is D because needs should guide all purchasing decisions.,D
