Question,A,B,C,D,Descripton A,Descripton B,Descripton C,Descripton D,Answer
The main purpose of operating a school canteen is to?,Compete with nearby food stores,Generate income for vendors,Promote healthy eating and address malnutrition,Provide employment opportunities,Competition is not the goal.,Profit is only secondary.,Nutrition and health are the primary purpose.,Employment is not the main objective.,C
"The DepEd Order No. 8, s. 2007 on school canteens was issued on?","January 15, 2006","February 6, 2007","March 10, 2008","April 1, 2009",Wrong year.,"It was issued on February 6, 2007. ",It’s not the documented date.,Not relevant.,B
"Who was the Secretary of Education who signed this DepED Order No.13, s. 2017? ",Armin Luistro ,Sara Duterte ,Juan Edgardo Angara ,Leonor Magtolis Briones ,He was a former secretary but not the signatory of this 2017 document. ,She served as secretary much later than the 2017 issuance. ,He is the current secretary as of 2024. ,"Secretary Leonor Magtolis Briones signed this order on March 14, 2017.",D
"What is the most concentrated form of energy, providing 9kcal per gram? ",Carbohydrates ,Fat ,Protein ,Vitamins ,Carbohydrates provide 4kcal per gram. ,Fat provides the highest energy density at 9kcal per gram. ,Protein provides 4kcal per gram. ,Vitamins do not provide caloric energy.,B
Low fat for a solid food product is defined as containing not more than how many grams of fat per 100g? ,1 gram ,5 grams ,10 grams ,3 grams ,The threshold is higher than 1g. ,"5g is a cut-off for the Red category per serving, not the low fat definition. ",10g is considered medium or high fat.  ,Standard for low fat in solids is 3g per 100g,D
Which staple food is listed under the GREEN category? ,Instant Noodles ,White Bread with jelly ,Brown Rice ,French Fries ,High sodium makes instant noodles Red. ,Sugary jelly moves white bread to Yellow or Red. ,Brown rice or iron-fortified rice is a healthy Green staple. ,High fat and salt make fries Red.,C
What is the role of the SDS in this policy? ,Approving the school’s healthy menu. ,Cooking the school meals. ,Selling food in the canteen. ,Buying ingredients. ,The SDS provides formal approval for the menu. ,Personnel or cooperatives do the cooking. ,Canteen managers handle sales. ,Procurement is handled at the canteen level.,A
Why are carbonated and sugary drinks prohibited in school canteens?,They are expensive,They are difficult to store,They negatively affect learners’ health,They reduce canteen income,Cost is not the issue.,Storage is not the concern.,They contribute to unhealthy eating habits.,Income is not the basis.,C
A canteen is operated by a teachers’ cooperative. What is the STANDARD sharing of gross margin?,"90% cooperative, 10% school","70% cooperative, 30% school","50% cooperative, 50% school","80% cooperative, 20% school",Not prescribed.,Not the standard ratio.,Not stated in the order.,"80% cooperative, 20% school. ",D
The school’s share of canteen proceeds should be remitted on or before:,The end of the school year,Any agreed date,Every quarter,Every fifth day of the month ,Too late.,Schedule is fixed.,Not quarterly.,Remittance is due every fifth of the month. ,D
